Front;Back;Tags;Number;Topic;Key;AnswerText
Завдання 1. Фонетика: однаковий звук. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: Б. Б: анекдот, гречний, екзотика;ukr_mova nmt2025 task_01;1;Фонетика: однаковий звук;Б;Б: анекдот, гречний, екзотика
Завдання 2. Орфоепія: наголос. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: А. А: заіржавілі гальма, новий обруч;ukr_mova nmt2025 task_02;2;Орфоепія: наголос;А;А: заіржавілі гальма, новий обруч
Завдання 3. Орфографія: е/и в словах. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: В. В: клекотіти, стрічечка, верховний;ukr_mova nmt2025 task_03;3;Орфографія: е/и в словах;В;В: клекотіти, стрічечка, верховний
Завдання 4. Орфографія: м’який знак. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: Г. Г: посунься, катається, Гуцульщина;ukr_mova nmt2025 task_04;4;Орфографія: м’який знак;Г;Г: посунься, катається, Гуцульщина
Завдання 5. Орфографія: буква а. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: А. А: відламати, багаття, качан;ukr_mova nmt2025 task_05;5;Орфографія: буква а;А;А: відламати, багаття, качан
Завдання 6. Орфографія: спрощення / пропуск букви. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: В. В: безчесний, щасливий, тижневий;ukr_mova nmt2025 task_06;6;Орфографія: спрощення / пропуск букви;В;В: безчесний, щасливий, тижневий
Завдання 7. Орфографія: дефіс у складних словах. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: Г. Г: кіловат-година, аграрно-промисловий, інженер-механік;ukr_mova nmt2025 task_07;7;Орфографія: дефіс у складних словах;Г;Г: кіловат-година, аграрно-промисловий, інженер-механік
Завдання 8. Орфографія: пошук помилок. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: А. А: Спочатку готелі виникали вздовж важливих торговельних шляхів...;ukr_mova nmt2025 task_08;8;Орфографія: пошук помилок;А;А: Спочатку готелі виникали вздовж важливих торговельних шляхів...
Завдання 9. Словотвір: суфікси фемінітивів. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: В. В: друкар;ukr_mova nmt2025 task_09;9;Словотвір: суфікси фемінітивів;В;В: друкар
Завдання 10. Лексика: лексична помилка. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: Б. Б: спричинити до наслідків;ukr_mova nmt2025 task_10;10;Лексика: лексична помилка;Б;Б: спричинити до наслідків
